name,rank,top_250_rank,kind,imdb_id,rating,director
The Wizard of Oz (1939),1,121,movie,0032138,8.3,Victor Fleming
Star Wars (1977),2,14,movie,0076759,8.8,George Lucas
Cabiria (1914),3,None,movie,0003740,6.6,Giovanni Pastrone
Psycho (1960),4,24,movie,0054215,8.7,Alfred Hitchcock
King Kong (1933),5,244,movie,0024216,8.0,Merian C. Cooper
Metropolis (1927),6,95,movie,0017136,8.4,Fritz Lang
"""Star Trek"" (1966)",7,None,tv series,0060028,8.6,Marc Daniels
Casablanca (1942),8,16,movie,0034583,8.8,Michael Curtiz
Snow White and the Seven Dwarfs (1937),9,None,movie,0029583,7.9,William Cottrell
2001: A Space Odyssey (1968),10,87,movie,0062622,8.4,Stanley Kubrick
The Godfather (1972),11,2,movie,0068646,9.2,Francis Ford Coppola
The Birth of a Nation (1915),12,None,movie,0004972,7.1,D.W. Griffith
Shadow of a Doubt (1943),13,None,movie,0036342,8.1,Alfred Hitchcock
Jaws (1975),14,112,movie,0073195,8.3,Steven Spielberg
Snow White (1916/I),15,None,movie,0007361,6.4,J. Searle Dawley
Apocalypse Now (1979),16,37,movie,0078788,8.6,Francis Ford Coppola
Gone with the Wind (1939),17,151,movie,0031381,8.2,Victor Fleming
The Merry Widow (1934),18,None,movie,0025493,7.6,Ernst Lubitsch
The Searchers (1956),19,None,movie,0049730,8.1,John Ford
Vertigo (1958),20,43,movie,0052357,8.6,Alfred Hitchcock
Dr. No (1962),21,None,movie,0055928,7.3,Terence Young
Touch of Evil (1958),22,122,movie,0052311,8.3,Orson Welles
Chang: A Drama of the Wilderness (1927),23,None,movie,0017743,7.4,Merian C. Cooper
The Exorcist (1973),24,201,movie,0070047,8.1,William Friedkin
Citizen Kane (1941),25,36,movie,0033467,8.6,Orson Welles
The Terminator (1984),26,167,movie,0088247,8.1,James Cameron
Rosemary's Baby (1968),27,224,movie,0063522,8.1,Roman Polanski
Bronenosets Potyomkin (1925),28,None,movie,0015648,8.1,Sergei M. Eisenstein
Star Wars: Episode V - The Empire Strikes Back (1980),29,11,movie,0080684,8.8,Irvin Kershner
The Lost World (1925),30,None,movie,0016039,7.1,Harry O. Hoyt
A Clockwork Orange (1971),31,52,movie,0066921,8.5,Stanley Kubrick
Frankenstein (1931),32,None,movie,0021884,8.0,James Whale
"""Sesame Street"" (1969)",33,None,tv series,0063951,8.5,Lisa Simon
La grande illusion (1937),34,None,movie,0028950,8.2,Jean Renoir
Raiders of the Lost Ark (1981),35,22,movie,0082971,8.7,Steven Spielberg
Night of the Living Dead (1968),36,None,movie,0063350,8.0,George A. Romero
The Wizard of Oz (1925),37,None,movie,0016544,5.3,Larry Semon
THX 1138 (1971),38,None,movie,0066434,6.8,George Lucas
E.T.: The Extra-Terrestrial (1982),39,None,movie,0083866,7.9,Steven Spielberg
The Poor Little Rich Girl (1917),40,None,movie,0008443,6.9,Maurice Tourneur
The Tin Man (1935),41,None,movie,0027112,4.6,James Parrott
Taxi Driver (1976),42,41,movie,0075314,8.6,Martin Scorsese
"Il buono, il brutto, il cattivo. (1966)",43,4,movie,0060196,9.0,Sergio Leone
The Battle at Elderbush Gulch (1913),44,None,movie,0003662,6.6,D.W. Griffith
Singin' in the Rain (1952),45,77,movie,0045152,8.4,Stanley Donen
On the Waterfront (1954),46,104,movie,0047296,8.4,Elia Kazan
The General (1926),47,120,movie,0017925,8.4,Clyde Bruckman
Ghost Busters (1984),48,None,movie,0087332,7.8,Ivan Reitman
Tarzan the Ape Man (1932),49,None,movie,0023551,7.1,W.S. Van Dyke
"His Majesty, the Scarecrow of Oz (1914)",50,None,movie,0004099,6.0,L. Frank Baum
"""The Twilight Zone"" (1959)",51,None,tv series,0052520,9.5,John Brahm
The Great Train Robbery (1903),52,None,movie,0000439,7.5,Edwin S. Porter
Goldfinger (1964),53,None,movie,0058150,7.9,Guy Hamilton
La dolce vita (1960),54,None,movie,0053779,8.1,Federico Fellini
Alien (1979),55,46,movie,0078748,8.5,Ridley Scott
"Nosferatu, eine Symphonie des Grauens (1922)",56,None,movie,0013442,8.1,F.W. Murnau
The Shining (1980),57,49,movie,0081505,8.5,Stanley Kubrick
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),58,33,movie,0057012,8.6,Stanley Kubrick
Scarface (1983),59,157,movie,0086250,8.2,Brian De Palma
Rocky (1976),60,213,movie,0075148,8.1,John G. Avildsen
"""The Simpsons"" (1989)",61,None,tv series,0096697,9.0,Mark Kirkland
Un chien andalou (1929),62,None,movie,0020530,8.0,Luis Buñuel
Dracula (1931),63,None,movie,0021814,7.7,Tod Browning
First Blood (1982),64,None,movie,0083944,7.5,Ted Kotcheff
"""The Flintstones"" (1960)",65,None,tv series,0053502,8.0,Joseph Barbera
"""Batman"" (1966)",66,None,tv series,0059968,7.7,Oscar Rudolph
The Lost Patrol (1934),67,None,movie,0025423,7.0,John Ford
I Am a Fugitive from a Chain Gang (1932),68,None,movie,0023042,8.1,Mervyn LeRoy
